stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8727605,"ERMONT EAUBONNE",,48.980236,2.271376,,,1,
StopArea:DUA8727658,"ERMONT HALTE",,48.990651,2.263183,,,1,
StopArea:DUA8727659,"GROS NOYER SAINT-PRIX",,48.994875,2.25775,,,1,
StopArea:DUA8727660,"SAINT-LEU LA FORET",,49.015574,2.242223,,,1,
StopArea:DUA8727662,"VAUCELLES",,49.022529,2.231081,,,1,
StopArea:DUA8727663,"TAVERNY",,49.025356,2.221804,,,1,
StopArea:DUA8727664,"BESSANCOURT",,49.035965,2.211427,,,1,
StopArea:DUA8727665,"GARE DE FREPILLON",,49.046772,2.200188,,,1,
StopArea:DUA8727666,"GARE DE MERY SUR OISE",,49.057511,2.190586,,,1,
StopArea:DUA8727667,"MERIEL",,49.077382,2.205075,,,1,
StopArea:DUA8727653,"VALMONDOIS",,49.091073,2.201823,,,1,
StopArea:DUA8727652,"L'ISLE ADAM PARMAIN",,49.114784,2.21002,,,1,
StopArea:DUA8727651,"CHAMPAGNE SUR OISE",,49.135985,2.242413,,,1,
StopArea:DUA8727646,"PERSAN BEAUMONT",,49.147787,2.278841,,,1,
StopArea:DUA8727606,"CERNAY",,48.985032,2.257219,,,1,
StopArea:DUA8727607,"FRANCONVILLE LE PLESSIS BOUCHARD",,48.993557,2.234598,,,1,
StopArea:DUA8727608,"MONTIGNY BEAUCHAMP",,49.007603,2.197864,,,1,
StopArea:DUA8727609,"PIERRELAYE",,49.019331,2.15374,,,1,
StopArea:DUA8733798,"GARE DE ST OUEN L'AUMONE LIESSE",,49.033678,2.128024,,,1,
StopArea:DUA8727610,"GARE DE ST OUEN L'AUMONE",,49.045397,2.105831,,,1,
StopArea:DUA8727613,"PONTOISE",,49.046892,2.09518,,,1,
StopArea:DUA8727103,"GARE DE PARIS NORD",,48.88034,2.356399,,,1,
StopArea:DUA8727101,"SAINT-DENIS",,48.934877,2.345772,,,1,
StopArea:DUA8727112,"EPINAY VILLETANEUSE",,48.957858,2.327421,,,1,
StopArea:DUA8727117,"LA BARRE ORMESSON",,48.966816,2.317384,,,1,
StopArea:DUA8727602,"ENGHIEN LES BAINS",,48.972822,2.307075,,,1,
StopArea:DUA8727603,"CHAMP DE COURSES D'ENGHIEN",,48.980186,2.292456,,,1,
StopArea:DUA8727634,"DEUIL MONTMAGNY",,48.975603,2.33852,,,1,
StopArea:DUA8727636,"GROSLAY",,48.98469,2.354401,,,1,
StopArea:DUA8727638,"SARCELLES SAINT-BRICE",,48.994926,2.367945,,,1,
StopArea:DUA8727639,"ECOUEN EZANVILLE",,49.023122,2.36352,,,1,
StopArea:DUA8727643,"DOMONT",,49.032842,2.338056,,,1,
StopArea:DUA8727648,"BOUFFEMONT MOISSELLES",,49.045249,2.322583,,,1,
StopArea:DUA8727649,"MONTSOULT MAFFLIERS",,49.066324,2.322276,,,1,
