from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopPoint:DUA8754700,StopPoint:DUA8754702,2,252
StopPoint:DUA8754702,StopPoint:DUA8754700,2,252
StopPoint:DUA8711300,StopPoint:DUA8727100,2,504
StopPoint:DUA8711300,StopPoint:DUA8727102,2,504
StopPoint:DUA8711300,StopPoint:DUA8727103,2,504
StopPoint:DUA8727100,StopPoint:DUA8711300,2,672
StopPoint:DUA8727100,StopPoint:DUA8727102,2,252
StopPoint:DUA8727100,StopPoint:DUA8727103,2,252
StopPoint:DUA8727100,StopPoint:DUA8728187,2,408
StopPoint:DUA8727102,StopPoint:DUA8711300,2,672
StopPoint:DUA8727102,StopPoint:DUA8727100,2,252
StopPoint:DUA8727102,StopPoint:DUA8727103,2,252
StopPoint:DUA8727102,StopPoint:DUA8728187,2,376
StopPoint:DUA8727103,StopPoint:DUA8711300,2,672
StopPoint:DUA8727103,StopPoint:DUA8727100,2,252
StopPoint:DUA8727103,StopPoint:DUA8727102,2,252
StopPoint:DUA8727103,StopPoint:DUA8728187,2,408
StopPoint:DUA8728189,StopPoint:DUA8738400,2,485
StopPoint:DUA8728187,StopPoint:DUA8727100,2,314
StopPoint:DUA8728187,StopPoint:DUA8727102,2,272
StopPoint:DUA8728187,StopPoint:DUA8727103,2,290
StopPoint:DUA8775858,StopPoint:DUA8768603,2,252
StopPoint:DUA8775858,StopPoint:DUA8768600,2,252
StopPoint:DUA8768603,StopPoint:DUA8775858,2,252
StopPoint:DUA8768603,StopPoint:DUA8768600,2,252
StopPoint:DUA8768600,StopPoint:DUA8775858,2,252
StopPoint:DUA8768600,StopPoint:DUA8768603,2,252
StopPoint:DUA8738400,StopPoint:DUA8728189,2,328
StopPoint:DUA8778543,StopPoint:DUA8754731,2,252
StopPoint:DUA8754731,StopPoint:DUA8778543,2,252
StopPoint:DUA76:476,StopPoint:DUA76:475,2,252
StopPoint:DUA76:476,StopPoint:DUA8738247,2,336
StopPoint:DUA76:475,StopPoint:DUA76:476,2,252
StopPoint:DUA76:475,StopPoint:DUA8738247,2,336
StopPoint:DUA8738247,StopPoint:DUA76:476,2,336
StopPoint:DUA8738247,StopPoint:DUA76:475,2,336
StopPoint:DUA76:478,StopPoint:DUA76:477,2,252
StopPoint:DUA76:478,StopPoint:DUA8738248,2,336
StopPoint:DUA76:477,StopPoint:DUA76:478,2,252
StopPoint:DUA76:477,StopPoint:DUA8738248,2,336
StopPoint:DUA8738248,StopPoint:DUA76:478,2,336
StopPoint:DUA8738248,StopPoint:DUA76:477,2,336
StopPoint:DUA76:505,StopPoint:DUA8738640,2,336
StopPoint:DUA8738640,StopPoint:DUA76:505,2,336
StopPoint:DUA76:485,StopPoint:DUA76:486,2,252
StopPoint:DUA76:485,StopPoint:DUA8738281,2,336
StopPoint:DUA76:486,StopPoint:DUA76:485,2,252
StopPoint:DUA76:486,StopPoint:DUA8738281,2,336
StopPoint:DUA8738281,StopPoint:DUA76:485,2,336
StopPoint:DUA8738281,StopPoint:DUA76:486,2,336
StopPoint:DUA8741071,StopPoint:DUA8741069,2,527
StopPoint:DUA8741069,StopPoint:DUA8741071,2,540
StopPoint:DUA76:339,StopPoint:DUA76:340,2,252
StopPoint:DUA76:339,StopPoint:DUA8736692,2,336
StopPoint:DUA76:340,StopPoint:DUA76:339,2,252
StopPoint:DUA76:340,StopPoint:DUA8736692,2,336
StopPoint:DUA8736692,StopPoint:DUA76:339,2,336
StopPoint:DUA8736692,StopPoint:DUA76:340,2,336
StopPoint:DUA76:483,StopPoint:DUA76:484,2,252
StopPoint:DUA76:483,StopPoint:DUA8738280,2,336
StopPoint:DUA76:484,StopPoint:DUA76:483,2,252
StopPoint:DUA76:484,StopPoint:DUA8738280,2,336
StopPoint:DUA8738280,StopPoint:DUA76:483,2,336
StopPoint:DUA8738280,StopPoint:DUA76:484,2,336
StopPoint:DUA8739357,StopPoint:DUA8775879,2,252
StopPoint:DUA8775879,StopPoint:DUA8739357,2,252
StopPoint:DUA8775878,StopPoint:DUA8738328,2,420
StopPoint:DUA8738328,StopPoint:DUA8775878,2,420
StopPoint:DUA8738113,StopPoint:DUA76:359,2,336
StopPoint:DUA76:359,StopPoint:DUA8738113,2,336
StopPoint:DUA8738200,StopPoint:DUA76:445,2,336
StopPoint:DUA76:445,StopPoint:DUA8738200,2,336
StopPoint:DUA8775801,StopPoint:DUA8738221,2,252
StopPoint:DUA8738221,StopPoint:DUA8775801,2,252
StopPoint:DUA76:497,StopPoint:DUA8738600,2,336
StopPoint:DUA8738600,StopPoint:DUA76:497,2,336
StopPoint:DUA76:501,StopPoint:DUA8738630,2,336
StopPoint:DUA8738630,StopPoint:DUA76:501,2,336
StopPoint:DUA8769424,StopPoint:DUA76:1065,2,126
StopPoint:DUA76:1065,StopPoint:DUA8769424,2,123
StopPoint:DUA76:503,StopPoint:DUA8775803,2,205
StopPoint:DUA76:503,StopPoint:DUA8738631,2,336
StopPoint:DUA8775803,StopPoint:DUA76:503,2,224
StopPoint:DUA8775803,StopPoint:DUA8738631,2,252
StopPoint:DUA8738631,StopPoint:DUA76:503,2,336
StopPoint:DUA8738631,StopPoint:DUA8775803,2,252
StopPoint:DUA8775830,StopPoint:DUA8711371,2,420
StopPoint:DUA8711371,StopPoint:DUA8775830,2,420
StopPoint:DUA8753413,StopPoint:DUA8727605,2,270
StopPoint:DUA8727605,StopPoint:DUA8753413,2,252
