service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10792,1,1,1,1,1,1,1,20161201,20170607
10811,0,0,0,0,1,0,0,20170217,20170526
10833,0,1,1,1,1,1,0,20161201,20161217
10119,0,1,1,1,1,1,0,20161201,20161210
10835,0,0,0,0,0,0,1,20170206,20170409
10352,0,1,1,1,1,1,0,20161213,20161217
10834,1,1,1,1,1,0,0,20161201,20161216
10172,1,1,1,1,1,0,0,20161201,20170607
10408,0,0,0,0,0,1,1,20161203,20170604
10009,1,1,1,1,1,1,1,20161201,20170607
10789,1,1,1,1,1,1,1,20161201,20170607
10790,1,1,1,1,1,1,1,20161201,20170607
10171,1,1,1,1,1,0,0,20170102,20170607
10778,1,1,1,1,1,1,1,20161201,20170603
10777,1,1,1,1,1,1,1,20161201,20170602
10800,0,0,0,0,0,1,1,20170417,20170528
10801,0,0,0,0,0,1,1,20170417,20170604
10291,1,1,1,1,1,0,0,20161226,20161230
10794,0,0,0,0,0,1,1,20170327,20170604
10795,0,0,0,0,0,1,1,20170327,20170514
10817,0,0,0,0,0,1,1,20170313,20170416
10816,0,0,0,0,0,1,0,20170213,20170409
10815,1,0,0,0,0,0,1,20170213,20170416
10218,1,1,1,1,1,0,0,20161212,20170607
10780,0,0,0,0,0,1,1,20170102,20170604
10294,0,0,0,0,0,1,0,20161203,20170603
10818,0,0,0,0,0,1,1,20170401,20170416
10808,0,0,0,1,1,0,0,20161201,20161202
10524,0,0,0,1,1,0,0,20161201,20161202
10802,0,0,0,0,0,1,1,20161203,20161210
10803,0,0,0,0,0,1,1,20161211,20170604
10805,1,1,1,1,1,0,0,20161205,20170607
10327,1,1,1,1,1,0,0,20161205,20161209
10566,0,0,0,0,0,1,0,20161217,20170603
10804,1,1,1,1,1,1,1,20161203,20170607
10806,0,0,0,0,0,1,0,20161203,20161210
10807,1,1,1,1,1,1,0,20161203,20161210
10122,1,1,1,1,1,1,1,20161211,20170607
10406,0,0,0,0,0,1,1,20161203,20170604
10810,0,0,0,1,1,0,0,20161201,20161202
10809,1,1,1,1,1,1,0,20161203,20170607
10821,0,0,0,0,0,1,1,20161203,20170604
10822,0,0,0,0,0,0,1,20161204,20170604
10825,0,0,0,0,0,1,0,20161203,20170430
10113,1,1,1,1,1,0,0,20161201,20161209
10823,0,0,0,0,0,1,1,20170506,20170507
10827,0,0,0,0,0,1,1,20161203,20170604
10824,1,1,1,1,1,0,0,20170102,20170607
10826,0,0,0,0,0,1,1,20161203,20170604
10830,1,1,1,1,1,1,1,20161201,20170607
10829,1,1,1,1,1,1,1,20161201,20170607
10828,1,1,1,1,1,1,0,20161201,20170607
10832,1,1,1,1,1,1,0,20170102,20170607
10831,1,1,1,1,1,1,1,20161201,20170607
10820,0,0,0,0,0,0,1,20161211,20170409
10030,1,1,1,1,1,0,0,20161201,20161209
10350,1,1,1,1,1,0,0,20161212,20161216
10814,0,0,0,0,0,1,0,20161203,20161217
10812,1,1,1,1,1,1,0,20161212,20161217
10813,0,1,1,1,1,1,0,20161201,20161216
10779,1,1,1,1,1,1,1,20161201,20170607
10782,0,1,1,1,1,0,0,20161213,20161216
10776,1,1,1,1,1,1,1,20161201,20170602
10775,1,1,1,1,1,1,1,20161201,20170607
10788,1,0,0,0,0,1,1,20170424,20170528
10787,0,0,0,0,0,1,1,20170424,20170604
10027,0,0,0,0,0,0,1,20161211,20170604
10793,1,1,1,1,1,0,0,20170213,20170607
10799,1,1,1,1,1,1,1,20161201,20170607
10798,0,0,0,0,0,1,1,20170327,20170528
10796,0,0,0,0,0,1,1,20170213,20170416
10797,0,0,0,0,0,1,1,20170327,20170528
10791,1,1,1,1,1,0,0,20170102,20170607
10167,0,1,1,1,1,0,0,20161213,20161223
10168,0,0,0,0,0,1,0,20161217,20161224
10110,0,0,0,0,1,0,0,20161216,20161223
10121,1,1,1,1,0,0,0,20161212,20161222
10170,0,1,1,1,0,0,0,20161213,20161222
10169,1,1,1,1,0,0,0,20161212,20161223
10588,1,1,1,1,1,0,0,20170206,20170217
10586,1,1,1,1,1,1,1,20161201,20170607
10587,1,0,0,1,0,0,0,20161201,20161208
10324,0,1,1,1,1,1,0,20161206,20161210
10223,0,0,0,0,0,1,1,20170128,20170129
10595,0,1,1,1,1,1,0,20170207,20170218
10596,0,0,0,0,1,1,0,20161209,20161210
10011,1,1,1,1,1,1,0,20161201,20170607
10589,1,1,1,1,1,0,0,20161212,20161230
10348,1,1,1,1,1,0,0,20170102,20170106
10351,0,1,1,1,1,1,0,20170103,20170107
10346,1,1,1,1,1,1,0,20161205,20161210
10283,0,0,0,1,1,0,0,20161201,20161202
10353,0,1,1,1,1,1,0,20161220,20161224
10231,1,1,1,1,1,0,0,20161219,20161223
10354,1,1,0,1,1,0,0,20161201,20161209
10645,1,1,1,1,1,0,0,20170109,20170127
11129,0,1,1,1,1,1,0,20170110,20170128
10664,1,1,1,1,1,0,0,20161205,20161223
10601,0,0,0,1,1,1,0,20161201,20161203
10843,0,0,0,0,0,0,1,20161211,20170409
10063,0,0,0,0,0,1,1,20161203,20161210
10022,0,0,0,0,0,1,0,20161203,20161210
10083,1,1,1,1,1,1,0,20161201,20161210
10844,0,0,0,0,0,1,0,20161201,20170603
10845,1,1,1,1,1,1,0,20161201,20170607
10044,1,1,1,1,1,1,0,20161212,20170607
10021,0,0,0,0,0,0,1,20161204,20170604
10846,0,0,0,0,0,0,1,20161211,20170604
10101,1,1,1,1,1,1,0,20161201,20161210
10842,0,1,1,1,1,1,0,20161201,20161217
10363,0,1,1,1,1,1,0,20161201,20161210
10774,0,0,0,0,0,1,0,20170107,20170204
10771,0,1,1,1,1,1,0,20170103,20170128
10769,0,1,1,1,1,1,0,20161201,20161224
10754,1,1,1,1,1,0,0,20170130,20170210
10770,0,1,1,1,1,1,0,20170103,20170211
10054,1,1,1,1,0,0,0,20161201,20161208
10773,1,1,1,1,1,0,0,20161205,20161230
10772,1,1,1,1,1,0,0,20170102,20170607
10758,0,1,1,1,1,1,0,20170131,20170211
10585,0,1,1,1,1,1,0,20170110,20170607
10584,1,1,1,1,1,0,0,20170109,20170607
10462,0,1,1,1,1,1,0,20161201,20161230
10461,0,1,1,1,1,1,0,20161201,20161230
10463,1,1,1,1,1,0,0,20161201,20161230
10464,1,1,1,1,1,0,0,20161201,20161230
11135,1,1,1,1,1,0,0,20170306,20170407
10516,1,1,1,1,0,0,0,20161201,20161208
11134,0,1,1,1,1,1,0,20161201,20170607
10885,0,0,0,0,0,0,1,20170115,20170122
11138,1,1,1,1,1,0,0,20170102,20170303
11137,0,1,1,1,1,1,0,20170102,20170304
11136,1,0,0,0,0,0,0,20161205,20161219
11139,0,1,1,1,1,0,0,20170102,20170303
11140,1,1,1,1,1,0,0,20161201,20161223
8532,0,0,0,0,0,1,0,20161217,20170107
8531,1,0,0,0,0,0,0,20161219,20170102
8529,1,1,1,1,1,0,0,20161214,20170106
11690,0,0,0,0,0,1,1,20170212,20170604
11691,0,0,0,0,0,1,1,20161203,20170211
11677,1,1,1,1,1,0,0,20170102,20170210
11489,1,1,1,1,1,0,0,20170213,20170607
11678,1,1,1,1,1,1,1,20161203,20170211
10332,0,0,0,0,0,0,1,20161225,20170101
11683,1,1,0,0,0,0,0,20170120,20170124
11680,0,1,1,1,1,0,0,20161206,20161209
11684,1,1,1,1,1,1,1,20161205,20170211
10515,0,0,0,1,1,0,0,20161201,20161202
11681,0,0,0,0,0,1,1,20161203,20161204
11682,0,0,0,0,0,1,1,20170121,20170122
11679,1,1,1,1,1,1,1,20170212,20170607
11685,1,1,1,1,1,1,1,20161205,20170211
11705,0,0,0,1,1,0,0,20161201,20161202
11695,1,1,1,1,1,0,0,20170102,20170210
11696,0,1,1,1,0,0,0,20161213,20161215
10175,0,0,0,0,0,1,1,20161203,20161204
11698,0,1,1,1,1,0,0,20161201,20161209
11699,0,0,0,0,0,1,1,20161210,20170115
11701,1,1,1,1,1,1,1,20161205,20170211
11700,1,1,1,1,1,0,0,20170102,20170210
11686,1,1,1,1,1,1,1,20170213,20170607
11687,1,1,1,1,1,1,1,20161201,20170211
11689,1,0,0,0,0,0,0,20161226,20170102
10864,0,1,1,1,1,1,0,20161227,20161231
11688,1,1,1,1,1,1,1,20161204,20170212
11692,1,1,1,1,1,1,1,20161204,20170212
11694,0,0,0,1,1,0,0,20161201,20161202
11702,0,0,0,0,0,1,1,20161210,20170211
11704,1,1,1,1,1,1,1,20161205,20170211
11703,0,0,0,0,0,1,1,20170123,20170604
11693,1,1,1,1,1,1,1,20161211,20170211
10453,0,1,1,1,1,0,0,20170117,20170120
10452,0,1,1,1,1,0,0,20170124,20170127
10432,0,1,1,1,1,0,0,20170207,20170210
10419,1,1,1,1,1,0,0,20170515,20170521
10457,1,1,1,1,0,0,0,20170123,20170126
10458,1,1,1,1,0,0,0,20170206,20170209
10460,1,1,1,1,0,0,0,20170116,20170119
10423,0,1,1,1,1,1,0,20170516,20170520
10438,0,0,0,0,0,1,1,20170116,20170129
10437,1,1,1,1,1,1,1,20161201,20170607
10439,1,0,0,0,0,0,1,20170116,20170129
10434,1,1,1,1,1,1,1,20161201,20170607
10444,1,1,1,1,1,1,1,20161201,20170607
10445,1,1,1,1,1,1,1,20161201,20170607
10441,1,1,1,1,1,1,1,20161201,20170607
10416,0,0,0,0,0,1,1,20161203,20170604
10417,1,1,1,1,1,1,1,20161201,20170607
10418,0,0,0,0,0,1,1,20161203,20170604
10371,1,0,0,0,0,0,1,20170116,20170129
10372,1,1,1,1,1,1,1,20161204,20170607
