service_id,date,exception_type
10792,20170207,2
10792,20170208,2
10792,20170209,2
10792,20170210,2
10792,20170211,2
10792,20170221,2
10792,20170222,2
10792,20170223,2
10792,20170224,2
10792,20170225,2
10792,20170307,2
10792,20170308,2
10792,20170309,2
10792,20170310,2
10792,20170311,2
10792,20170418,2
10792,20170419,2
10792,20170420,2
10792,20170421,2
10792,20170422,2
10792,20170425,2
10792,20170426,2
10792,20170427,2
10792,20170428,2
10792,20170429,2
10006,20170101,1
10811,20170524,1
10098,20161203,1
10835,20170525,1
10835,20170521,1
10835,20170528,1
10835,20161206,1
10835,20161207,1
10835,20161208,1
10835,20161209,1
10835,20161213,1
10835,20161214,1
10835,20161215,1
10835,20161216,1
10835,20161201,1
10835,20161202,1
10835,20161205,1
10835,20161211,1
10835,20161212,1
10835,20170417,1
10835,20170423,1
10835,20170501,1
10835,20170508,1
10835,20170514,1
10835,20161218,2
10835,20170507,2
10835,20161204,2
10172,20170525,2
10172,20170417,2
10172,20170501,2
10172,20170508,2
10172,20170605,2
10408,20170525,1
10408,20170417,1
10408,20170501,1
10408,20170508,1
10408,20170605,1
10789,20170327,2
10789,20170328,2
10789,20170329,2
10789,20170330,2
10789,20170331,2
10789,20170403,2
10789,20170404,2
10789,20170405,2
10789,20170406,2
10789,20170407,2
10790,20170603,2
10790,20170604,2
10790,20161212,2
10790,20161213,2
10790,20161214,2
10790,20161215,2
10790,20161216,2
10790,20170116,2
10790,20170117,2
10790,20170118,2
10790,20170119,2
10790,20170120,2
10790,20170130,2
10790,20170131,2
10790,20170201,2
10790,20170202,2
10790,20170203,2
10790,20170313,2
10790,20170314,2
10790,20170315,2
10790,20170316,2
10790,20170317,2
10790,20170320,2
10790,20170321,2
10790,20170322,2
10790,20170323,2
10790,20170324,2
10790,20170327,2
10790,20170328,2
10790,20170329,2
10790,20170330,2
10790,20170331,2
10790,20170403,2
10790,20170404,2
10790,20170405,2
10790,20170406,2
10790,20170407,2
10790,20170410,2
10790,20170411,2
10790,20170412,2
10790,20170413,2
10790,20170414,2
10790,20170605,2
10784,20161212,1
10784,20161213,1
10784,20161214,1
10784,20161215,1
10784,20161216,1
10784,20170116,1
10784,20170117,1
10784,20170118,1
10784,20170119,1
10784,20170120,1
10784,20161211,1
10784,20170130,1
10784,20170131,1
10784,20170201,1
10784,20170202,1
10784,20170203,1
10786,20170117,1
10786,20170118,1
10786,20170119,1
10786,20170120,1
10786,20170121,1
10786,20161213,1
10786,20161214,1
10786,20161215,1
10786,20161216,1
10786,20161217,1
10786,20170131,1
10786,20170201,1
10786,20170202,1
10786,20170203,1
10786,20170204,1
10785,20170117,1
10785,20170118,1
10785,20170119,1
10785,20170120,1
10785,20170121,1
10785,20170131,1
10785,20170201,1
10785,20170202,1
10785,20170203,1
10785,20170204,1
10783,20161212,1
10783,20161213,1
10783,20161214,1
10783,20161215,1
10783,20161216,1
10783,20170116,1
10783,20170117,1
10783,20170118,1
10783,20170119,1
10783,20170120,1
10783,20170130,1
10783,20170131,1
10783,20170201,1
10783,20170202,1
10783,20170203,1
10171,20161201,1
10171,20161202,1
10171,20161205,1
10171,20161206,1
10171,20161207,1
10171,20161208,1
10171,20161209,1
10171,20161212,1
10171,20161213,1
10171,20161214,1
10171,20161215,1
10171,20161216,1
10171,20161219,1
10171,20161220,1
10171,20161221,1
10171,20161222,1
10171,20161223,1
10171,20170525,2
10171,20170417,2
10171,20170501,2
10171,20170508,2
10171,20170605,2
10778,20161213,2
10778,20161214,2
10778,20161215,2
10778,20161216,2
10778,20161217,2
10778,20170117,2
10778,20170118,2
10778,20170119,2
10778,20170120,2
10778,20170121,2
10778,20170131,2
10778,20170201,2
10778,20170202,2
10778,20170203,2
10778,20170204,2
10778,20170214,2
10778,20170215,2
10778,20170216,2
10778,20170217,2
10778,20170218,2
10778,20170314,2
10778,20170315,2
10778,20170316,2
10778,20170317,2
10778,20170318,2
10778,20170321,2
10778,20170322,2
10778,20170323,2
10778,20170324,2
10778,20170325,2
10778,20170328,2
10778,20170329,2
10778,20170330,2
10778,20170331,2
10778,20170401,2
10778,20170404,2
10778,20170405,2
10778,20170406,2
10778,20170407,2
10778,20170408,2
10778,20170411,2
10778,20170412,2
10778,20170413,2
10778,20170414,2
10778,20170415,2
10778,20170509,2
10778,20170510,2
10778,20170511,2
10778,20170512,2
10778,20170513,2
10777,20161211,2
10777,20161212,2
10777,20161213,2
10777,20161214,2
10777,20161215,2
10777,20161216,2
10777,20170116,2
10777,20170117,2
10777,20170118,2
10777,20170119,2
10777,20170120,2
10777,20170130,2
10777,20170131,2
10777,20170201,2
10777,20170202,2
10777,20170203,2
10777,20170213,2
10777,20170214,2
10777,20170215,2
10777,20170216,2
10777,20170217,2
10777,20170313,2
10777,20170314,2
10777,20170315,2
10777,20170316,2
10777,20170317,2
10777,20170320,2
10777,20170321,2
10777,20170322,2
10777,20170323,2
10777,20170324,2
10777,20170327,2
10777,20170328,2
10777,20170329,2
10777,20170330,2
10777,20170331,2
10777,20170403,2
10777,20170404,2
10777,20170405,2
10777,20170406,2
10777,20170407,2
10777,20170410,2
10777,20170411,2
10777,20170412,2
10777,20170413,2
10777,20170414,2
10777,20170508,2
10777,20170509,2
10777,20170510,2
10777,20170511,2
10777,20170512,2
10800,20170605,1
10800,20170606,1
10800,20170607,1
10800,20170525,1
10800,20170501,1
10800,20170508,1
10800,20170211,1
10800,20170212,1
10800,20170225,1
10800,20170226,1
10800,20170311,1
10800,20170312,1
10800,20161201,1
10800,20161202,1
10800,20161203,1
10800,20161204,1
10800,20161205,1
10800,20161206,1
10800,20161207,1
10800,20161208,1
10800,20161209,1
10800,20161210,1
10800,20161211,1
10800,20161212,1
10800,20161213,1
10800,20161214,1
10800,20161215,1
10800,20161216,1
10800,20161217,1
10800,20161218,1
10800,20161219,1
10800,20161220,1
10800,20161221,1
10800,20161222,1
10800,20161223,1
10800,20161224,1
10800,20161225,1
10800,20161226,1
10800,20161227,1
10800,20161228,1
10800,20161229,1
10800,20161230,1
10800,20161231,1
10800,20170101,1
10800,20170102,1
10800,20170103,1
10800,20170104,1
10800,20170105,1
10800,20170106,1
10800,20170107,1
10800,20170108,1
10800,20170109,1
10800,20170110,1
10800,20170111,1
10800,20170112,1
10800,20170113,1
10800,20170114,1
10800,20170115,1
10800,20170116,1
10800,20170117,1
10800,20170118,1
10800,20170119,1
10800,20170120,1
10800,20170121,1
10800,20170122,1
10800,20170123,1
10800,20170124,1
10800,20170125,1
10800,20170126,1
10800,20170127,1
10800,20170128,1
10800,20170129,1
10800,20170130,1
10800,20170131,1
10800,20170201,1
10800,20170202,1
10800,20170203,1
10800,20170204,1
10800,20170205,1
10800,20170213,1
10800,20170214,1
10800,20170215,1
10800,20170216,1
10800,20170217,1
10800,20170218,1
10800,20170219,1
10800,20170227,1
10800,20170228,1
10800,20170301,1
10800,20170302,1
10800,20170303,1
10800,20170304,1
10800,20170305,1
10800,20170313,1
10800,20170314,1
10800,20170315,1
10800,20170316,1
10800,20170317,1
10800,20170318,1
10800,20170319,1
10800,20170320,1
10800,20170321,1
10800,20170322,1
10800,20170323,1
10800,20170324,1
10800,20170325,1
10800,20170326,1
10800,20170327,1
10800,20170328,1
10800,20170329,1
10800,20170330,1
10800,20170331,1
10800,20170401,1
10800,20170402,1
10800,20170403,1
10800,20170404,1
10800,20170405,1
10800,20170406,1
10800,20170407,1
10800,20170408,1
10800,20170409,1
10800,20170410,1
10800,20170411,1
10800,20170412,1
10800,20170413,1
10800,20170414,1
10800,20170415,1
10800,20170416,1
10800,20170422,1
10800,20170423,1
10800,20170429,1
10800,20170430,1
10800,20170520,1
10800,20170521,1
10800,20170527,1
10800,20170528,1
10800,20170206,2
10800,20170207,2
10800,20170208,2
10800,20170209,2
10800,20170210,2
10800,20170220,2
10800,20170221,2
10800,20170222,2
10800,20170223,2
10800,20170224,2
10800,20170306,2
10800,20170307,2
10800,20170308,2
10800,20170309,2
10800,20170310,2
10800,20170417,2
10800,20170418,2
10800,20170419,2
10800,20170420,2
10800,20170421,2
10800,20170424,2
10800,20170425,2
10800,20170426,2
10800,20170427,2
10800,20170428,2
10800,20170515,2
10800,20170516,2
10800,20170517,2
10800,20170518,2
10800,20170519,2
10800,20170522,2
10800,20170523,2
10800,20170524,2
10800,20170526,2
10801,20170525,1
10801,20170501,1
10801,20170508,1
10801,20170605,1
10801,20170606,1
10801,20170607,1
10801,20170211,1
10801,20170212,1
10801,20170311,1
10801,20170312,1
10801,20161201,1
10801,20161202,1
10801,20161203,1
10801,20161204,1
10801,20161205,1
10801,20161206,1
10801,20161207,1
10801,20161208,1
10801,20161209,1
10801,20161210,1
10801,20161211,1
10801,20161212,1
10801,20161213,1
10801,20161214,1
10801,20161215,1
10801,20161216,1
10801,20161217,1
10801,20161218,1
10801,20161219,1
10801,20161220,1
10801,20161221,1
10801,20161222,1
10801,20161223,1
10801,20161224,1
10801,20161225,1
10801,20161226,1
10801,20161227,1
10801,20161228,1
10801,20161229,1
10801,20161230,1
10801,20161231,1
10801,20170101,1
10801,20170102,1
10801,20170103,1
10801,20170104,1
10801,20170105,1
10801,20170106,1
10801,20170107,1
10801,20170108,1
10801,20170109,1
10801,20170110,1
10801,20170111,1
10801,20170112,1
10801,20170113,1
10801,20170114,1
10801,20170115,1
10801,20170116,1
10801,20170117,1
10801,20170118,1
10801,20170119,1
10801,20170120,1
10801,20170121,1
10801,20170122,1
10801,20170123,1
10801,20170124,1
10801,20170125,1
10801,20170126,1
10801,20170127,1
10801,20170128,1
10801,20170129,1
10801,20170130,1
10801,20170131,1
10801,20170201,1
10801,20170202,1
10801,20170203,1
10801,20170204,1
10801,20170205,1
10801,20170213,1
10801,20170214,1
10801,20170215,1
10801,20170216,1
10801,20170217,1
10801,20170218,1
10801,20170219,1
10801,20170220,1
10801,20170221,1
10801,20170222,1
10801,20170223,1
10801,20170224,1
10801,20170225,1
10801,20170226,1
10801,20170227,1
10801,20170228,1
10801,20170301,1
10801,20170302,1
10801,20170303,1
10801,20170304,1
10801,20170305,1
10801,20170313,1
10801,20170314,1
10801,20170315,1
10801,20170316,1
10801,20170317,1
10801,20170318,1
10801,20170319,1
10801,20170320,1
10801,20170321,1
10801,20170322,1
10801,20170323,1
10801,20170324,1
10801,20170325,1
10801,20170326,1
10801,20170327,1
10801,20170328,1
10801,20170329,1
10801,20170330,1
10801,20170331,1
10801,20170401,1
10801,20170402,1
10801,20170403,1
10801,20170404,1
10801,20170405,1
10801,20170406,1
10801,20170407,1
10801,20170408,1
10801,20170409,1
10801,20170410,1
10801,20170411,1
10801,20170412,1
10801,20170413,1
10801,20170414,1
10801,20170415,1
10801,20170416,1
10801,20170422,1
10801,20170423,1
10801,20170429,1
10801,20170430,1
10801,20170520,1
10801,20170521,1
10801,20170527,1
10801,20170528,1
10801,20170603,1
10801,20170604,1
10801,20170206,2
10801,20170207,2
10801,20170208,2
10801,20170209,2
10801,20170210,2
10801,20170306,2
10801,20170307,2
10801,20170308,2
10801,20170309,2
10801,20170310,2
10801,20170417,2
10801,20170418,2
10801,20170419,2
10801,20170420,2
10801,20170421,2
10801,20170424,2
10801,20170425,2
10801,20170426,2
10801,20170427,2
10801,20170428,2
10801,20170515,2
10801,20170516,2
10801,20170517,2
10801,20170518,2
10801,20170519,2
10801,20170522,2
10801,20170523,2
10801,20170524,2
10801,20170526,2
10801,20170529,2
10801,20170530,2
10801,20170531,2
10801,20170601,2
10801,20170602,2
10794,20170525,1
10794,20170417,1
10794,20170501,1
10794,20170508,1
10794,20170605,1
10794,20170606,1
10794,20170607,1
10794,20161201,1
10794,20161202,1
10794,20161203,1
10794,20161204,1
10794,20161205,1
10794,20161206,1
10794,20161207,1
10794,20161208,1
10794,20161209,1
10794,20161210,1
10794,20161211,1
10794,20161212,1
10794,20161213,1
10794,20161214,1
10794,20161215,1
10794,20161216,1
10794,20161217,1
10794,20161218,1
10794,20161219,1
10794,20161220,1
10794,20161221,1
10794,20161222,1
10794,20161223,1
10794,20161224,1
10794,20161225,1
10794,20161226,1
10794,20161227,1
10794,20161228,1
10794,20161229,1
10794,20161230,1
10794,20161231,1
10794,20170101,1
10794,20170102,1
10794,20170103,1
10794,20170104,1
10794,20170105,1
10794,20170106,1
10794,20170107,1
10794,20170108,1
10794,20170109,1
10794,20170110,1
10794,20170111,1
10794,20170112,1
10794,20170113,1
10794,20170114,1
10794,20170115,1
10794,20170116,1
10794,20170117,1
10794,20170118,1
10794,20170119,1
10794,20170120,1
10794,20170121,1
10794,20170122,1
10794,20170123,1
10794,20170124,1
10794,20170125,1
10794,20170126,1
10794,20170127,1
10794,20170128,1
10794,20170129,1
10794,20170130,1
10794,20170131,1
10794,20170201,1
10794,20170202,1
10794,20170203,1
10794,20170204,1
10794,20170205,1
10794,20170206,1
10794,20170207,1
10794,20170208,1
10794,20170209,1
10794,20170210,1
10794,20170211,1
10794,20170212,1
10794,20170213,1
10794,20170214,1
10794,20170215,1
10794,20170216,1
10794,20170217,1
10794,20170218,1
10794,20170219,1
10794,20170220,1
10794,20170221,1
10794,20170222,1
10794,20170223,1
10794,20170224,1
10794,20170225,1
10794,20170226,1
10794,20170227,1
10794,20170228,1
10794,20170301,1
10794,20170302,1
10794,20170303,1
10794,20170304,1
10794,20170305,1
10794,20170306,1
10794,20170307,1
10794,20170308,1
10794,20170309,1
10794,20170310,1
10794,20170311,1
10794,20170312,1
10794,20170313,1
10794,20170314,1
10794,20170315,1
10794,20170316,1
10794,20170317,1
10794,20170318,1
10794,20170319,1
10794,20170320,1
10794,20170321,1
10794,20170322,1
10794,20170323,1
10794,20170324,1
10794,20170325,1
10794,20170326,1
10794,20170401,1
10794,20170402,1
10794,20170408,1
10794,20170409,1
10794,20170415,1
10794,20170416,1
10794,20170429,1
10794,20170430,1
10794,20170520,1
10794,20170521,1
10794,20170527,1
10794,20170528,1
10794,20170603,1
10794,20170604,1
10794,20170327,2
10794,20170328,2
10794,20170329,2
10794,20170330,2
10794,20170331,2
10794,20170403,2
10794,20170404,2
10794,20170405,2
10794,20170406,2
10794,20170407,2
10794,20170410,2
10794,20170411,2
10794,20170412,2
10794,20170413,2
10794,20170414,2
10794,20170424,2
10794,20170425,2
10794,20170426,2
10794,20170427,2
10794,20170428,2
10794,20170515,2
10794,20170516,2
10794,20170517,2
10794,20170518,2
10794,20170519,2
10794,20170522,2
10794,20170523,2
10794,20170524,2
10794,20170526,2
10794,20170529,2
10794,20170530,2
10794,20170531,2
10794,20170601,2
10794,20170602,2
10795,20170417,1
10795,20170501,1
10795,20170508,1
10795,20161201,1
10795,20161202,1
10795,20161203,1
10795,20161204,1
10795,20161205,1
10795,20161206,1
10795,20161207,1
10795,20161208,1
10795,20161209,1
10795,20161210,1
10795,20161211,1
10795,20161212,1
10795,20161213,1
10795,20161214,1
10795,20161215,1
10795,20161216,1
10795,20161217,1
10795,20161218,1
10795,20161219,1
10795,20161220,1
10795,20161221,1
10795,20161222,1
10795,20161223,1
10795,20161224,1
10795,20161225,1
10795,20161226,1
10795,20161227,1
10795,20161228,1
10795,20161229,1
10795,20161230,1
10795,20161231,1
10795,20170101,1
10795,20170102,1
10795,20170103,1
10795,20170104,1
10795,20170105,1
10795,20170106,1
10795,20170107,1
10795,20170108,1
10795,20170109,1
10795,20170110,1
10795,20170111,1
10795,20170112,1
10795,20170113,1
10795,20170114,1
10795,20170115,1
10795,20170116,1
10795,20170117,1
10795,20170118,1
10795,20170119,1
10795,20170120,1
10795,20170121,1
10795,20170122,1
10795,20170123,1
10795,20170124,1
10795,20170125,1
10795,20170126,1
10795,20170127,1
10795,20170128,1
10795,20170129,1
10795,20170130,1
10795,20170131,1
10795,20170201,1
10795,20170202,1
10795,20170203,1
10795,20170204,1
10795,20170205,1
10795,20170206,1
10795,20170207,1
10795,20170208,1
10795,20170209,1
10795,20170210,1
10795,20170211,1
10795,20170212,1
10795,20170213,1
10795,20170214,1
10795,20170215,1
10795,20170216,1
10795,20170217,1
10795,20170218,1
10795,20170219,1
10795,20170220,1
10795,20170221,1
10795,20170222,1
10795,20170223,1
10795,20170224,1
10795,20170225,1
10795,20170226,1
10795,20170227,1
10795,20170228,1
10795,20170301,1
10795,20170302,1
10795,20170303,1
10795,20170304,1
10795,20170305,1
10795,20170306,1
10795,20170307,1
10795,20170308,1
10795,20170309,1
10795,20170310,1
