service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
9552,1,1,1,1,1,1,1,20170101,20170705
9535,0,1,1,1,1,1,0,20170228,20170311
9563,0,0,0,0,1,0,0,20170310,20170528
9561,0,1,1,1,1,1,0,20170307,20170311
9565,1,1,1,1,1,0,0,20170213,20170224
9120,1,1,1,1,1,0,0,20170220,20170224
9594,0,0,0,0,0,0,1,20170212,20170409
9165,0,1,1,1,1,1,0,20170221,20170225
9544,0,1,1,1,1,1,0,20170214,20170218
9550,1,1,1,1,1,1,1,20170417,20170618
9530,1,1,1,1,1,1,1,20170101,20170705
9527,0,0,0,0,0,1,1,20170101,20170702
9549,1,1,1,1,1,1,1,20170101,20170702
8964,1,1,1,1,1,0,0,20170102,20170705
9528,1,1,1,1,1,1,1,20170101,20170705
9526,0,0,0,0,0,1,1,20170101,20170611
8963,1,1,1,1,1,0,0,20170102,20170705
9543,1,1,1,1,1,0,0,20170116,20170122
9537,1,1,1,1,1,1,1,20170220,20170312
9536,1,0,0,0,0,0,1,20170227,20170416
9533,1,1,1,1,1,0,0,20170227,20170310
9534,0,0,0,0,0,1,1,20170227,20170416
9559,0,0,0,0,0,1,1,20170417,20170528
9560,0,0,0,0,0,1,1,20170417,20170604
9554,0,0,0,0,0,1,1,20170327,20170514
9566,1,0,0,0,0,0,1,20170213,20170416
9567,0,0,0,0,0,1,0,20170306,20170409
9568,0,0,0,0,0,1,1,20170313,20170416
9553,0,0,0,0,0,1,1,20170327,20170604
9539,0,0,0,0,0,1,1,20170107,20170611
9540,0,0,0,0,0,1,1,20170107,20170702
9541,0,0,0,0,0,1,0,20170107,20170611
9529,1,1,1,1,1,0,0,20170306,20170310
9569,0,0,0,0,0,1,1,20170401,20170416
8969,0,0,0,0,0,1,1,20170101,20170702
8780,1,1,1,1,1,1,1,20170101,20170705
8965,0,0,0,0,0,1,0,20170107,20170701
8782,1,1,1,1,1,1,0,20170102,20170705
9097,1,1,1,1,1,0,0,20170206,20170210
9575,0,0,0,0,0,1,1,20170101,20170618
9588,0,0,0,0,0,1,0,20170107,20170610
9573,0,0,0,0,0,0,1,20170101,20170618
9571,0,0,0,0,0,0,1,20170101,20170409
9591,1,1,1,1,1,1,1,20170101,20170705
9590,1,1,1,1,1,1,0,20170102,20170705
9589,1,1,1,1,1,1,1,20170102,20170705
9592,1,1,1,1,1,1,0,20170102,20170705
9586,0,0,0,0,0,1,1,20170101,20170611
9587,1,1,1,1,1,1,1,20170101,20170705
9585,0,0,0,0,0,1,1,20170107,20170611
9577,0,0,0,0,0,1,0,20170107,20170430
9583,1,1,1,1,1,0,0,20170102,20170705
9584,0,0,0,0,0,0,1,20170101,20170611
9576,0,0,0,0,0,1,1,20170101,20170611
8803,1,1,1,0,0,0,0,20170703,20170705
9564,0,1,1,1,1,1,0,20170214,20170225
9538,1,1,1,1,1,1,1,20170101,20170702
9562,1,1,1,1,1,0,0,20170227,20170303
9532,1,1,1,1,1,1,1,20170220,20170312
9531,1,1,1,1,1,1,1,20170101,20170705
9547,0,0,0,0,0,1,1,20170424,20170528
9546,0,0,0,0,0,1,1,20170424,20170604
9548,1,1,1,1,1,1,1,20170101,20170705
8781,0,0,0,0,0,0,1,20170101,20170702
9593,1,1,1,1,1,0,0,20170313,20170705
9555,0,0,0,0,0,1,1,20170213,20170416
9556,1,1,1,1,1,1,1,20170101,20170212
9557,0,0,0,0,0,1,1,20170327,20170528
9558,1,1,1,1,1,1,1,20170101,20170705
9551,1,1,1,1,1,0,0,20170102,20170705
9121,1,1,1,1,1,0,0,20170213,20170217
10491,0,1,1,1,1,1,0,20170228,20170304
8922,0,1,1,1,1,0,0,20170130,20170219
8921,1,1,1,1,0,0,0,20170130,20170219
8923,1,0,0,0,0,0,0,20170213,20170326
8925,1,0,0,0,0,0,1,20170213,20170319
8924,0,0,0,0,0,0,1,20170206,20170319
8929,1,0,0,0,0,0,0,20170508,20170514
8931,1,1,1,1,1,0,0,20170626,20170705
8930,1,1,1,1,1,0,0,20170102,20170122
8960,1,1,1,1,1,0,0,20170529,20170623
8928,1,1,1,1,1,0,0,20170522,20170623
8955,0,1,1,1,1,1,0,20170530,20170705
8956,0,1,1,1,1,1,0,20170103,20170122
8957,0,1,1,1,1,1,0,20170103,20170122
8943,0,1,1,1,1,1,0,20170110,20170129
8942,0,1,1,1,1,1,0,20170116,20170129
8941,1,0,0,0,0,0,0,20170403,20170416
8937,1,1,1,1,1,0,0,20170109,20170129
8944,1,0,0,0,0,0,0,20170515,20170604
8935,1,1,1,1,1,0,0,20170410,20170416
8142,1,1,1,1,1,1,0,20170111,20170204
8141,0,0,0,0,0,0,1,20170115,20170205
8961,0,0,0,0,0,0,1,20170605,20170618
8962,1,1,1,1,1,0,0,20170109,20170129
8938,1,1,1,1,0,0,0,20170130,20170302
8132,0,0,0,0,0,1,1,20170128,20170205
8136,1,0,0,0,0,0,1,20170129,20170205
8143,0,0,0,0,0,0,1,20170115,20170205
8140,0,0,0,0,0,0,1,20170115,20170205
8139,0,0,0,0,0,1,0,20170114,20170204
8138,0,0,0,0,1,1,1,20170113,20170205
8134,0,0,0,0,1,1,0,20170113,20170204
8948,1,1,1,1,0,0,1,20170129,20170212
8946,1,1,1,1,0,0,1,20170130,20170212
8920,1,1,1,1,1,0,0,20170306,20170319
8940,1,1,1,1,0,0,0,20170130,20170216
8939,1,1,1,1,1,0,0,20170123,20170205
9088,0,1,1,1,1,1,0,20170131,20170204
9318,1,1,1,1,0,0,0,20170313,20170331
9317,1,1,1,1,1,0,0,20170206,20170217
9315,1,0,0,1,0,0,0,20170116,20170126
9316,1,0,0,1,0,0,0,20170313,20170324
9328,1,1,1,1,1,0,0,20170313,20170331
9325,0,0,0,0,0,1,1,20170101,20170702
9320,0,0,0,0,0,1,1,20170320,20170423
9321,1,1,1,0,0,0,0,20170327,20170329
9326,0,1,1,1,1,1,0,20170313,20170401
9333,0,1,1,1,1,1,0,20170207,20170218
9336,1,1,1,1,0,0,0,20170220,20170309
9335,0,0,1,1,0,0,0,20170215,20170216
9298,0,0,0,0,0,1,1,20170225,20170305
9299,0,0,0,0,0,1,0,20170225,20170304
9331,1,1,1,1,1,0,0,20170206,20170217
9334,1,1,1,1,1,0,0,20170116,20170217
9199,0,0,1,1,1,0,0,20170301,20170303
9226,1,1,0,0,0,0,0,20170213,20170214
9010,0,1,1,1,1,0,0,20170207,20170210
9092,1,1,1,1,1,0,0,20170102,20170210
9066,1,1,1,1,0,0,0,20170109,20170112
9087,1,1,1,1,0,0,0,20170109,20170129
9067,0,1,1,1,1,0,0,20170110,20170127
9086,0,1,1,1,1,0,0,20170110,20170129
9096,0,1,1,1,1,1,0,20170207,20170211
9095,0,1,1,1,1,1,0,20170116,20170204
9099,1,1,1,1,1,0,0,20170116,20170203
9065,0,1,1,1,1,0,0,20170110,20170113
9098,1,1,1,1,1,0,0,20170109,20170113
9069,0,1,1,1,1,0,0,20170117,20170127
9048,0,0,0,0,0,1,0,20170121,20170204
9073,0,0,0,0,1,0,0,20170120,20170203
9070,1,1,1,1,0,0,0,20170116,20170126
9100,0,1,1,1,1,1,0,20170117,20170204
9089,0,1,1,1,1,1,0,20170117,20170128
8976,0,0,0,0,0,0,1,20170108,20170115
9032,1,0,0,0,0,0,0,20170109,20170116
9072,1,1,1,1,1,0,0,20170130,20170203
9090,1,1,1,1,1,0,0,20170116,20170129
9093,1,1,1,1,1,0,0,20170116,20170203
9081,0,1,1,1,1,1,0,20170103,20170107
9083,0,1,1,1,1,1,0,20170110,20170211
9080,0,0,0,0,0,1,0,20170114,20170129
9082,0,1,1,1,1,0,0,20170110,20170204
9085,0,1,1,1,1,1,0,20170114,20170211
9084,0,0,0,0,0,1,0,20170114,20170211
9102,1,1,1,1,0,0,0,20170112,20170129
9101,1,1,1,0,0,0,0,20170109,20170111
9918,0,1,1,1,1,1,0,20170110,20170415
9919,1,1,1,1,1,0,0,20170109,20170414
9920,1,0,0,0,0,0,1,20170226,20170306
9921,0,0,0,0,0,1,1,20170311,20170319
9922,1,0,0,0,0,0,1,20170312,20170320
9405,1,1,1,1,1,0,0,20170102,20170421
9339,0,1,1,1,1,1,0,20170213,20170305
9343,1,1,1,1,1,0,0,20170213,20170305
9337,1,1,1,1,1,0,0,20170102,20170106
9406,1,1,1,1,1,0,0,20170213,20170305
9606,0,0,0,0,0,0,1,20170101,20170409
9288,0,0,0,0,0,0,1,20170101,20170702
9599,1,1,1,1,1,0,0,20170206,20170212
9603,0,0,1,1,1,1,0,20170411,20170513
9600,1,1,1,1,1,0,0,20170327,20170407
9605,1,1,1,1,1,0,0,20170116,20170122
9521,0,1,1,1,1,1,0,20170131,20170429
9525,0,1,1,1,1,1,0,20170307,20170429
9524,0,1,1,1,1,1,0,20170130,20170304
9523,0,1,1,1,1,1,0,20170306,20170429
9516,1,1,1,1,1,0,0,20170130,20170428
9515,0,1,1,1,1,1,0,20170103,20170429
9510,0,1,1,1,1,1,0,20170103,20170305
9490,1,1,1,1,1,0,0,20170130,20170210
9509,0,1,1,1,1,1,0,20170307,20170319
9506,0,0,0,0,0,1,1,20170225,20170226
9062,0,0,0,0,0,1,1,20170318,20170319
9449,1,1,1,1,1,0,0,20170213,20170428
9520,1,1,1,1,1,0,0,20170102,20170630
9408,1,1,1,1,1,0,0,20170306,20170317
9519,0,1,1,1,1,1,0,20170307,20170318
9511,0,1,1,1,1,1,0,20170103,20170128
9514,1,1,1,1,1,0,0,20170130,20170303
9512,1,1,1,1,1,0,0,20170306,20170331
9513,0,1,1,1,1,1,0,20170131,20170305
9880,1,1,1,1,1,0,0,20170306,20170407
9881,1,1,1,1,0,0,0,20170102,20170316
9879,0,1,1,1,1,1,0,20170103,20170705
9641,0,0,0,0,0,0,1,20170115,20170122
9884,1,1,1,1,1,0,0,20170102,20170303
9883,0,1,1,1,1,1,0,20170103,20170304
9885,1,1,1,1,1,0,0,20170102,20170303
8135,0,0,0,0,0,0,1,20170115,20170122
9886,1,0,0,0,0,0,0,20170102,20170227
9888,0,1,1,1,1,1,0,20170110,20170121
9889,0,1,1,1,1,1,0,20170114,20170121
9377,1,1,1,1,1,0,0,20170109,20170127
9876,0,1,1,1,1,1,0,20170110,20170128
9300,0,0,0,0,0,0,1,20170226,20170305
8137,1,0,0,0,0,0,0,20170116,20170130
8133,1,1,1,1,1,0,0,20170111,20170203
9314,1,1,1,1,1,0,0,20170109,20170705
9312,0,1,1,1,1,1,0,20170110,20170705
9223,0,0,0,1,1,1,0,20170302,20170304
9220,0,0,0,1,0,1,0,20170302,20170304
9221,0,0,1,1,1,1,0,20170208,20170211
9225,0,1,1,0,0,0,0,20170214,20170215
10495,0,0,0,0,0,1,1,20170212,20170702
9397,1,1,1,1,1,0,0,20170213,20170303
10496,0,0,0,0,0,1,1,20170107,20170211
10298,1,1,1,1,1,0,0,20170102,20170210
10290,1,1,1,1,1,0,0,20170213,20170705
10483,1,1,1,1,1,1,1,20170102,20170211
10489,1,1,1,1,1,1,1,20170213,20170705
10488,1,1,1,1,1,1,1,20170213,20170705
10487,1,1,1,1,1,1,1,20170102,20170211
10485,1,1,0,0,0,0,0,20170120,20170124
9198,0,1,1,1,0,0,0,20170207,20170209
10486,0,0,0,0,0,1,1,20170121,20170122
10499,1,1,1,1,1,0,0,20170102,20170210
10500,0,0,1,1,1,0,0,20170104,20170106
10484,1,1,1,1,1,1,1,20170212,20170705
10502,0,0,0,0,0,1,1,20170123,20170211
10503,1,1,1,1,1,0,0,20170102,20170210
10504,1,1,1,1,1,1,1,20170102,20170211
10501,0,0,0,0,0,1,1,20170218,20170702
10494,1,1,1,1,1,1,1,20170212,20170705
10490,1,1,1,1,1,1,1,20170213,20170705
10492,1,1,1,1,1,1,1,20170101,20170212
10505,1,1,1,1,1,1,1,20170212,20170705
10506,0,0,0,0,0,1,1,20170123,20170702
10498,1,1,1,1,1,1,1,20170212,20170705
10497,1,1,1,1,1,0,0,20170213,20170219
9208,0,1,1,1,1,1,0,20170117,20170121
9209,0,0,1,1,1,0,0,20170208,20170210
9215,1,1,1,1,1,0,0,20170116,20170120
9218,1,1,1,1,0,0,0,20170116,20170119
9216,1,1,1,1,0,0,0,20170123,20170126
9210,0,1,1,1,0,0,0,20170124,20170126
9196,1,1,1,1,1,1,1,20170101,20170705
9195,0,0,0,0,0,1,1,20170213,20170702
9197,1,1,1,1,1,1,1,20170101,20170702
8794,1,1,1,0,0,0,0,20170703,20170705
9185,1,1,1,1,1,1,1,20170101,20170705
9179,0,0,0,0,0,1,1,20170101,20170702
9188,1,1,1,1,1,1,1,20170101,20170705
9187,1,1,1,1,1,1,1,20170101,20170705
9190,1,1,1,1,1,1,1,20170101,20170705
9184,1,1,1,1,1,1,1,20170101,20170705
9186,1,1,1,1,1,1,1,20170101,20170705
9191,1,1,1,1,1,1,1,20170101,20170705
9193,0,1,1,1,1,1,0,20170411,20170415
9194,1,1,1,1,1,1,1,20170101,20170705
9180,0,0,0,0,0,1,1,20170101,20170701
9181,1,1,1,1,1,1,1,20170101,20170705
9118,0,0,0,0,0,1,1,20170211,20170212
9112,0,1,1,1,1,1,1,20170213,20170226
9123,1,1,1,1,1,1,1,20170101,20170705
