route_id,service_id,trip_id,trip_headsign,direction_id,block_id
DUA8008530210013,9552,DUASN124693F09002-1_298112,"POTA",0,
DUA8008530210013,9552,DUASN124695F02002-1_298113,"POTA",0,
DUA8008530210013,9552,DUASN124697F02003-1_298114,"POTA",0,
DUA8008530210013,8752,DUASN124701F01001-1_298115,"POTA",0,
DUA8008530210013,8752,DUASN124703F03001-1_298116,"POTA",0,
DUA8008530210013,8752,DUASN124705F01001-1_298117,"POTA",0,
DUA8008530212001,9535,DUASN123607F05001-1_298118,"OPTE",0,
DUA8008530212001,9535,DUASN223603F01004-1_298119,"OPTE",0,
DUA8008530212001,9535,DUASN123605F04001-1_298120,"OPTE",0,
DUA8008530212001,9563,DUASN123603F04002-1_298121,"OPOC",0,
DUA8008530212013,9561,DUASN124695F03001-1_298122,"POTA",0,
DUA8008530212013,9561,DUASN124697F03001-1_298123,"VOTE",0,
DUA8008530212037,9565,DUASN123601F02001-1_298124,"OPOC",0,
DUA8008530212037,9120,DUASN123603F05001-1_298125,"EOLI",0,
DUA8008530212037,9594,DUASN123603F07001-1_298126,"OPOC",0,
DUA8008530212037,9165,DUASN123605F09004-1_298127,"EOLI",0,
DUA8008530212037,9544,DUASN123605F09005-1_298128,"OPOC",0,
DUA8008530212037,9165,DUASN123607F02001-1_298129,"EOLI",0,
DUA8008530212037,9544,DUASN123607F02003-1_298130,"OPOC",0,
DUA8008530212037,9120,DUASN124689F04001-1_298131,"EOLI",0,
DUA8008530212037,9120,DUASN124691F04001-1_298132,"EOLI",0,
DUA8008530210011,9550,DUASN125503F01001-1_298133,"LOMI",0,
DUA8008530210011,9530,DUASN125499F01001-1_298134,"LOMI",0,
DUA8008530210011,9527,DUASN125487F01001-1_298135,"LOMI",0,
DUA8008530210011,9549,DUASN125501F01001-1_298136,"LOMI",0,
DUA8008530210011,9527,DUASN125495F01001-1_298137,"LOMI",0,
DUA8008530210011,8964,DUASN125493F01001-1_298138,"LOMI",0,
DUA8008530210011,9528,DUASN125445F01001-1_298139,"LOMI",0,
DUA8008530210011,9528,DUASN125447F01001-1_298140,"LOMI",0,
DUA8008530210011,9528,DUASN125443F01001-1_298141,"LOMI",0,
DUA8008530210011,9526,DUASN125409F02001-1_298142,"LOMI",0,
DUA8008530210011,8964,DUASN125401F02001-1_298143,"LOMI",0,
DUA8008530210011,9526,DUASN125419F02001-1_298144,"LOMI",0,
DUA8008530210011,9526,DUASN125431F01001-1_298145,"LOMI",0,
